level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	560	4338	-1	
2	1	1	0	0	0	0	68	560	4136	-1	
3	1	1	1	0	0	0	68	560	4136	-1	
4	1	1	1	1	0	15	68	545	61	-1	
5	1	1	1	1	1	15	68	231	61	44.412262	yourself’
5	1	1	1	1	2	414	76	12	46	47.427025	[
5	1	1	1	1	3	435	76	125	49	63.247379	ja'self
4	1	1	1	2	0	14	149	517	63	-1	
5	1	1	1	2	1	14	149	152	63	57.602421	youth’
5	1	1	1	2	2	414	161	12	46	49.638832	[
5	1	1	1	2	3	435	161	96	49	18.354607	ju:d
5	1	1	1	2	4	515	156	16	63	18.354607	]
4	1	1	1	3	0	412	242	147	45	-1	
5	1	1	1	3	1	412	242	147	45	14.387798	DH
4	1	1	1	4	0	15	488	545	47	-1	
5	1	1	1	4	1	15	488	104	39	95.173225	zeal
5	1	1	1	4	2	413	488	102	47	0.000000	(zi:l]
5	1	1	1	4	3	540	509	20	21	62.556480	n
4	1	1	1	5	0	14	569	546	50	-1	
5	1	1	1	5	1	14	569	142	43	86.620575	zebra’
5	1	1	1	5	2	412	574	148	45	65.855286	('zi:bra
4	1	1	1	6	0	14	653	532	51	-1	
5	1	1	1	6	1	14	653	121	43	88.233856	zone’
5	1	1	1	6	2	412	658	15	45	53.229813	[
5	1	1	1	6	3	435	658	111	46	53.229813	zaun
5	1	1	1	6	4	526	650	22	62	64.909904	|
4	1	1	1	7	0	14	738	538	50	-1	
5	1	1	1	7	1	14	738	92	42	61.252785	Z00°
5	1	1	1	7	2	412	742	14	45	86.134567	[
5	1	1	1	7	3	439	758	50	24	88.421722	zu:
5	1	1	1	7	4	507	743	45	45	37.168865	ln.
4	1	1	1	8	0	0	1113	540	94	-1	
5	1	1	1	8	1	0	1087	158	120	0.000000	EM
5	1	1	1	8	2	197	1088	225	118	0.000000	SZi
4	1	1	1	9	0	10	1377	550	58	-1	
5	1	1	1	9	1	10	1377	135	58	95.933052	ankle
5	1	1	1	9	2	408	1382	152	51	56.361027	(‘enka
4	1	1	1	10	0	10	1464	548	47	-1	
5	1	1	1	10	1	10	1464	296	47	96.036125	anniversary
5	1	1	1	10	2	407	1466	13	44	67.347786	[
5	1	1	1	10	3	435	1465	123	40	2.436075	jeent'v
4	1	1	1	11	0	10	1548	550	44	-1	
5	1	1	1	11	1	10	1550	197	36	96.541550	antenna
5	1	1	1	11	2	407	1548	15	44	83.431328	|
5	1	1	1	11	3	431	1548	129	44	70.198082	een'ter
4	1	1	1	12	0	9	1629	551	47	-1	
5	1	1	1	12	1	9	1629	204	47	96.114388	anybody
5	1	1	1	12	2	407	1630	153	45	31.137505	['entibs
4	1	1	1	13	0	408	1709	92	43	-1	
5	1	1	1	13	1	408	1709	92	43	38.852455	A
4	1	1	1	14	0	9	1790	551	46	-1	
5	1	1	1	14	1	9	1790	189	46	96.028221	anyhow
5	1	1	1	14	2	406	1791	14	45	44.286350	|
5	1	1	1	14	3	433	1791	127	40	69.684212	'entha
4	1	1	1	15	0	410	1869	150	45	-1	
5	1	1	1	15	1	410	1869	37	41	61.386600	An
5	1	1	1	15	2	458	1869	42	45	42.884041	fay
5	1	1	1	15	3	515	1890	8	21	38.677223	5
5	1	1	1	15	4	538	1874	22	38	89.681892	A
4	1	1	1	16	0	8	1951	547	48	-1	
5	1	1	1	16	1	8	1962	82	36	96.714722	ape
5	1	1	1	16	2	406	1951	104	48	88.534546	Leip]
5	1	1	1	16	3	534	1970	21	22	70.075699	n
4	1	1	1	17	0	8	2029	547	56	-1	
5	1	1	1	17	1	8	2029	131	56	92.308151	appal
5	1	1	1	17	2	406	2034	53	45	75.611496	[a'
5	1	1	1	17	3	469	2027	59	58	75.247948	port
5	1	1	1	17	4	542	2034	13	46	48.097782	]
4	1	1	1	18	0	8	2111	552	56	-1	
5	1	1	1	18	1	8	2111	220	56	96.308754	appendix
5	1	1	1	18	2	405	2117	15	45	54.864136	|
5	1	1	1	18	3	433	2116	26	37	49.023598	a'
5	1	1	1	18	4	468	2116	92	47	49.023598	pend
4	1	1	1	19	0	406	2195	154	44	-1	
5	1	1	1	19	1	406	2195	40	43	64.186012	AY)
5	1	1	1	19	2	489	2195	37	44	29.518127	AT
4	1	1	1	20	0	7	2276	552	48	-1	
5	1	1	1	20	1	7	2276	195	47	95.782333	applaud
5	1	1	1	20	2	405	2277	10	45	56.851124	[
5	1	1	1	20	3	433	2277	26	36	48.144516	a'
5	1	1	1	20	4	467	2285	92	39	48.144516	plaid
4	1	1	1	21	0	7	2358	548	48	-1	
5	1	1	1	21	1	7	2358	217	47	96.745110	applause
5	1	1	1	21	2	404	2359	10	45	50.590279	[
5	1	1	1	21	3	432	2359	26	36	50.590279	a'
5	1	1	1	21	4	467	2368	88	38	6.313267	plo:
4	1	1	1	22	0	6	2437	554	55	-1	
5	1	1	1	22	1	6	2437	229	55	94.736084	appraisal
5	1	1	1	22	2	404	2442	14	45	75.759583	|
5	1	1	1	22	3	431	2442	27	36	31.031116	a'
5	1	1	1	22	4	467	2458	93	30	14.357586	prez
4	1	1	1	23	0	6	2523	554	47	-1	
5	1	1	1	23	1	6	2523	108	39	96.478149	arch
5	1	1	1	23	2	404	2523	112	47	21.740932	Lats]
5	1	1	1	23	3	540	2543	20	21	35.324669	7
4	1	1	1	24	0	6	2601	550	59	-1	
5	1	1	1	24	1	6	2601	219	59	96.508583	architect
5	1	1	1	24	2	403	2606	11	45	58.864983	[
5	1	1	1	24	3	431	2607	125	40	50.534134	'a:kite
4	1	1	1	25	0	6	2689	554	46	-1	
5	1	1	1	25	1	6	2700	145	27	96.570770	arrow
5	1	1	1	25	2	403	2689	16	45	69.796967	|
5	1	1	1	25	3	431	2689	129	46	42.745365	'eerau
5	1	1	1	25	4	544	2685	15	58	96.565300	|
4	1	1	1	26	0	6	2771	554	46	-1	
5	1	1	1	26	1	6	2774	152	43	96.487068	artery
5	1	1	1	26	2	403	2771	157	46	35.222164	[‘a:tart.
4	1	1	1	27	0	5	2853	547	46	-1	
5	1	1	1	27	1	5	2853	163	39	96.267487	ascend
5	1	1	1	27	2	403	2854	11	45	10.847311	(
5	1	1	1	27	3	427	2855	125	39	26.438194	a'send
4	1	1	1	28	0	5	2935	555	47	-1	
5	1	1	1	28	1	5	2935	228	40	96.002777	ascertain
5	1	1	1	28	2	403	2936	11	46	63.686928	[
5	1	1	1	28	3	426	2936	134	46	10.466805	eeso'ter
4	1	1	1	29	0	5	3019	550	46	-1	
5	1	1	1	29	1	5	3019	81	38	96.652000	ash
5	1	1	1	29	2	402	3019	95	46	0.000000	Lee]
5	1	1	1	29	3	522	3038	33	22	73.034698	n.
4	1	1	1	30	0	4	3100	556	46	-1	
5	1	1	1	30	1	4	3100	214	39	96.342888	ashamed
5	1	1	1	30	2	402	3101	14	45	66.106895	|
5	1	1	1	30	3	426	3101	134	45	68.222084	a'ferm
4	1	1	1	31	0	4	3181	556	47	-1	
5	1	1	1	31	1	4	3181	283	40	96.001556	assassinate
5	1	1	1	31	2	401	3182	11	46	52.266762	|
5	1	1	1	31	3	425	3182	135	46	22.267923	o'seesir
4	1	1	1	32	0	4	3264	556	47	-1	
5	1	1	1	32	1	4	3264	183	39	96.290222	auction
5	1	1	1	32	2	401	3264	159	47	17.111769	['o:kfan
4	1	1	1	33	0	4	3345	550	46	-1	
5	1	1	1	33	1	4	3345	136	39	96.427780	audio
5	1	1	1	33	2	401	3346	11	45	51.103470	[
5	1	1	1	33	3	429	3346	125	45	27.694363	'o:rdiau
4	1	1	1	34	0	3	3427	557	47	-1	
5	1	1	1	34	1	3	3427	278	40	95.522484	auditorium
5	1	1	1	34	2	401	3428	159	46	20.939932	[iaidi'to
4	1	1	1	35	0	402	3506	93	45	-1	
5	1	1	1	35	1	402	3506	38	45	45.577946	FL
5	1	1	1	35	2	455	3502	40	63	57.845150	tt
4	1	1	1	36	0	3	3588	557	47	-1	
5	1	1	1	36	1	3	3592	110	35	96.874908	aunt
5	1	1	1	36	2	400	3588	121	47	9.204960	La:nt]
5	1	1	1	36	3	546	3608	14	20	74.448334	7
4	1	1	1	37	0	3	3670	543	46	-1	
5	1	1	1	37	1	3	3670	128	39	96.830879	aural
5	1	1	1	37	2	400	3671	146	45	21.448578	['o:ral
5	1	1	1	37	3	535	3666	14	54	62.088474	|
4	1	1	1	38	0	2	3752	558	47	-1	
5	1	1	1	38	1	2	3755	189	36	96.342880	autumn
5	1	1	1	38	2	400	3752	160	47	0.000000	['o:tom.
4	1	1	1	39	0	2	3830	556	54	-1	
5	1	1	1	39	1	2	3830	118	54	96.944809	avail
5	1	1	1	39	2	400	3834	158	47	24.165430	[a'veil
5	1	1	1	39	3	545	3830	15	56	94.961411	|
4	1	1	1	40	0	2	3917	550	45	-1	
5	1	1	1	40	1	2	3920	126	35	96.968369	avert
5	1	1	1	40	2	399	3917	153	45	15.812578	La'vart_]}
4	1	1	1	41	0	399	3994	161	46	-1	
5	1	1	1	41	1	399	3994	161	46	96.544716	sth)
5	1	1	1	41	2	498	3990	14	54	48.135071	|
5	1	1	1	41	3	525	3990	32	54	48.135071	#4
4	1	1	1	42	0	1	4076	559	47	-1	
5	1	1	1	42	1	1	4076	201	40	96.062546	aviation
5	1	1	1	42	2	399	4077	14	46	21.425829	[
5	1	1	1	42	3	426	4077	134	40	0.000000	yervi'er
4	1	1	1	43	0	1	4159	559	45	-1	
5	1	1	1	43	1	1	4171	94	26	96.832344	awe
5	1	1	1	43	2	399	4159	73	45	30.401297	[az]
5	1	1	1	43	3	497	4178	34	22	42.476700	n.
5	1	1	1	43	4	550	4160	10	35	84.092056	4
